Source,Wavelength,LY
-,nm,photons/MeV
E. Graham et al 2019,380,490
V.B. Mikhailik et al 2023,420,19000
Linyuan Lian et al 2020,445,79279
Arisa Magi et al 2022,450,2500
Nan Li et al 2023,450,69088
Arisa Magi et al 2022,480,2900
M. D. Birowosuto et al 2020,505,24000
Atsushi Sato et al 2023,510,4200
Francesco Carulli et al 2024,510,10400
Xiaochen Wu et al 2022,510,33000
Valentina Bellotti et al 2024,514,6000
Jun-Hua Wei et al 2020,515,14600
Andrea Erroi et al 2023,517,4800
Mingjie Liu et al 2022,520,16740
Yuhai Zhang et al. 2019,520,21000
Zha Li et al 2018,520,3645
Zhi Yang et al 2024,520,40000
V. Naresh et al 2023,522,19200
Zhi-Wei Lü et al 2022,522,21000
F. Maddalena et al 2021,524,24000
Arisa Magi et al 2022,530,2900
Linyuan Gu et al. 2025,530,24800
Wenbo Ma et al 2021,530,10100
Qiang Xu et al 2020,531,64000
F. Maddalena et al 2021,534,21500
Chao Liu et al 2017,535,9670
Huiwang Lian et al 2023,535,3057
Lingfeng li et al 2023,580,32000
Jie Zhou et al. 2025,589,46155
Huanyu Chen et al 2022,591,30000
Atsushi Sato et al 2023,600,3200
B. T. Diroll et al 2023,610,2900
Z. Wang et al 2024,610,15600
B. T. Diroll et al 2023,650,6700
B. Guzelturk et al 2024,655,70000
Linquan Guan et al 2022,660,2500
