x	y
399.871	0.417
402.791	0.423
406.423	0.433
409.810	0.448
414.343	0.471
419.570	0.507
425.451	0.550
430.109	0.583
434.961	0.616
442.160	0.663
452.227	0.716
460.470	0.746
474.295	0.786
477.557	0.795
481.907	0.804
486.557	0.813
490.439	0.821
495.747	0.826
502.899	0.832
510.281	0.840
513.953	0.846
517.538	0.856
520.547	0.866
524.780	0.879
528.144	0.892
533.319	0.906
538.870	0.914
544.482	0.915
548.228	0.915
553.201	0.919
557.866	0.927
561.678	0.938
564.028	0.947
567.400	0.958
570.771	0.972
574.618	0.984
577.736	0.993
581.552	0.996
585.391	0.997
588.517	0.992
592.547	0.986
596.008	0.978
599.426	0.970
602.945	0.963
606.921	0.957
612.058	0.956
617.530	0.959
622.889	0.961
627.461	0.958
631.253	0.952
634.168	0.942
637.365	0.931
639.383	0.919
641.819	0.908
644.485	0.894
647.225	0.877
650.258	0.859
652.113	0.845
654.779	0.829
657.355	0.817
660.855	0.806
664.694	0.801
668.958	0.796
673.994	0.795
679.064	0.792
682.373	0.785
685.534	0.778
688.064	0.766
691.763	0.749
694.487	0.732
697.644	0.712
699.526	0.698
701.280	0.683
703.401	0.664
704.866	0.646
707.197	0.621
708.959	0.600
710.498	0.586
712.720	0.570
715.565	0.550
718.418	0.531
721.103	0.512
724.303	0.493
727.429	0.478
731.689	0.465
736.545	0.458
741.959	0.460
746.504	0.468
750.951	0.480
753.885	0.488
757.799	0.496
761.119	0.498
764.113	0.496
766.517	0.491
769.480	0.482
772.325	0.470
776.967	0.447
779.812	0.428
783.452	0.405
787.081	0.383
790.207	0.361
794.132	0.335
797.869	0.310
800.683	0.291
803.723	0.273
809.312	0.245
814.025	0.227
818.292	0.215
823.737	0.205
828.812	0.202
833.590	0.202
839.008	0.203
843.833	0.209
847.867	0.216
852.380	0.222
858.531	0.227
864.724	0.227
868.349	0.225
873.439	0.219
878.510	0.211
882.201	0.203
887.053	0.189
891.531	0.176
897.159	0.158
903.185	0.139
910.894	0.116
916.745	0.099
923.277	0.083
929.739	0.069
939.171	0.055
950.423	0.046
962.428	0.043
974.534	0.040
986.881	0.038
995.225	0.036
998.979	0.036
