A,B,C,D,E,F,G,H
Wavelength (nm),Molar Extinction (cm-1/M) ,Original Wavelength (nm),Original Molar Extinction (cm-1/M),Wavelength (nm),PL Emission (AU),Original Wavelength (nm),Original PL Emission (AU)
219.74,33450,700,0.00004,490,13148,490,13148.74
219.99,33507,699.75,0.00224,491,14315,491,14315.87
220.24,33663,699.5,0.00086,492,15015,492,15015.32
220.49,33985,699.25,0.00151,493,16313,493,16313.64
220.74,33740,699,0.00068,494,17564,494,17564.14
220.99,34158,698.75,-0.00055,495,19547,495,19547.73
221.24,33997,698.5,-0.00063,496,22274,496,22274.57
221.49,34083,698.25,0.00086,497,25624,497,25624.68
221.74,34279,698,0.00141,498,29420,498,29420.32
221.99,34442,697.75,0.00072,499,34294,499,34294.88
222.24,34207,697.5,0.00088,500,40162,500,40162.94
222.49,34464,697.25,0.00283,501,46897,501,46897.57
222.74,34505,697,0.00345,502,55035,502,55035.66
222.99,34370,696.75,0.00213,503,66616,503,66616.13
223.24,34117,696.5,0.00154,504,80669,504,80669.65
223.49,34286,696.25,-0.00013,505,98124,505,98124.44
223.74,34327,696,0.00075,506,120009,506,120009
223.99,34231,695.75,0.00373,507,145449,507,145449
224.24,34119,695.5,0.00107,508,178772,508,178772.5
224.49,34309,695.25,0.00214,509,220741,509,220741.6
224.74,34193,695,0.00089,510,267967,510,267967.8
224.99,34287,694.75,0.00206,511,327132,511,327132.2
225.24,33878,694.5,0.00169,512,401921,512,401921.2
225.49,34042,694.25,0.00076,513,489430,513,489430.9
225.74,33689,694,0.00133,514,601958,514,601958.9
225.99,33722,693.75,0.00003,515,736088,515,736088.3
226.24,33457,693.5,0.00015,516,897712,516,897712.8
226.49,33391,693.25,-0.0004,517,1084250,517,1084250
226.74,33212,693,0.0021,518,1316014,518,1316014
226.99,33412,692.75,0.00202,519,1575133,519,1575133
227.24,32994,692.5,0.00146,520,1889493,520,1889493
227.49,33125,692.25,0.0032,521,2257304,521,2257304
227.74,32686,692,0.00036,522,2688226,522,2688226
227.99,32967,691.75,0.00301,523,3191134,523,3191134
228.24,32821,691.5,0.00122,524,3745975,524,3745975
228.49,32581,691.25,0.00111,525,4360153,525,4360153
228.74,32552,691,0.00187,526,5083475,526,5083475
228.99,32621,690.75,0.00018,527,5875076,527,5875076
229.24,32181,690.5,0.00071,528,6743137,528,6743137
229.49,32226,690.25,-0.00001,529,7690824,529,7690824
229.74,31941,690,0.00152,530,8655486,530,8655486
229.99,31819,689.75,0.00057,531,9631630,531,9631630
230.24,31993,689.5,0.00049,532,10592750,532,10592750
230.49,32036,689.25,0.00322,533,11532870,533,11532870
230.74,31760,689,-0.00009,534,12442400,534,12442400
230.99,31812,688.75,0.00165,535,13318610,535,13318610
231.24,31549,688.5,0.00004,536,14182540,536,14182540
231.49,31582,688.25,-0.000008387,537,14996020,537,14996020
231.74,31417,688,0.00013,538,15775290,538,15775290
231.99,31495,687.75,0.00086,539,16503650,539,16503650
232.24,31672,687.5,0.00091,540,17182910,540,17182910
232.49,31347,687.25,0.00003,541,17762070,541,17762070
232.74,31253,687,0.00274,542,18288600,542,18288600
232.99,31214,686.75,0.0031,543,18753850,543,18753850
233.24,31323,686.5,0.00221,544,19163270,544,19163270
233.49,31231,686.25,0.002,545,19518740,545,19518740
233.74,31347,686,0.0007,546,19827650,546,19827650
233.99,31335,685.75,0.001,547,20108370,547,20108370
234.24,31685,685.5,0.00139,548,20297320,548,20297320
234.49,31664,685.25,0.00105,549,20458030,549,20458030
234.74,31705,685,0.00064,550,20543950,550,20543950
234.99,31868,684.75,-0.00044,551,20620840,551,20620840
235.24,32037,684.5,0.00225,552,20639660,552,20639660
235.49,32204,684.25,0.00035,553,20593400,553,20593400
235.74,32248,684,0.001,554,20484550,554,20484550
235.99,32537,683.75,-0.00047,555,20354190,555,20354190
236.24,32944,683.5,0.00133,556,20219320,556,20219320
236.49,33037,683.25,0.00206,557,20042940,557,20042940
236.74,33044,683,-0.00023,558,19851940,558,19851940
236.99,33596,682.75,0.00044,559,19616920,559,19616920
237.24,33752,682.5,-0.00117,560,19367710,560,19367710
237.49,34123,682.25,0.00212,561,19067140,561,19067140
237.74,34391,682,-0.00032,562,18754820,562,18754820
237.99,34587,681.75,0.00039,563,18397900,563,18397900
238.24,35023,681.5,0.00018,564,18030860,564,18030860
238.49,35234,681.25,0.00239,565,17667120,565,17667120
238.74,35642,681,0.00125,566,17314670,566,17314670
238.99,35899,680.75,-0.00034,567,16961020,567,16961020
239.24,36209,680.5,-0.00007,568,16547920,568,16547920
239.49,36470,680.25,-0.00007,569,16171930,569,16171930
239.74,36726,680,0.00225,570,15786370,570,15786370
239.99,37358,679.75,0.00084,571,15390280,571,15390280
240.24,37663,679.5,0.00041,572,15023180,572,15023180
240.49,37818,679.25,0.00083,573,14639330,573,14639330
240.74,38198,679,0.00153,574,14297520,574,14297520
240.99,38734,678.75,0.00337,575,13882540,575,13882540
241.24,38797,678.5,0.00121,576,13542560,576,13542560
241.49,39420,678.25,0.00096,577,13199350,577,13199350
241.74,39920,678,-0.0007,578,12843490,578,12843490
241.99,40278,677.75,0.0007,579,12542050,579,12542050
242.24,40387,677.5,0.00158,580,12266730,580,12266730
242.49,40778,677.25,0.00126,581,12013690,581,12013690
242.74,41188,677,0.00301,582,11765870,582,11765870
242.99,41532,676.75,0.00276,583,11530660,583,11530660
243.24,42091,676.5,0.00153,584,11325840,584,11325840
243.49,42487,676.25,-0.00141,585,11104140,585,11104140
243.74,42813,676,0.00218,586,10898860,586,10898860
243.99,43277,675.75,0.00071,587,10701990,587,10701990
244.24,43598,675.5,0.00182,588,10494260,588,10494260
244.49,43763,675.25,-0.00003,589,10319770,589,10319770
244.74,44126,675,0.00086,590,10142920,590,10142920
244.99,44422,674.75,0.00091,591,9980377,591,9980377
245.24,44832,674.5,0.00171,592,9800123,592,9800123
245.49,44921,674.25,0.00222,593,9641349,593,9641349
245.74,45169,674,-0.00005,594,9477500,594,9477500
245.99,45382,673.75,0.00041,595,9291343,595,9291343
246.24,45766,673.5,0.00288,596,9128556,596,9128556
246.49,45936,673.25,0.00307,597,8960219,597,8960219
246.74,46057,673,-0.00047,598,8769413,598,8769413
246.99,46317,672.75,-0.00154,599,8589643,599,8589643
247.24,46496,672.5,0.00204,600,8384350,600,8384350
247.49,46536,672.25,0.00198,601,8177985,601,8177985
247.74,46516,672,-0.00139,602,7974957,602,7974957
247.99,46428,671.75,-0.00125,603,7781046,603,7781046
248.24,46406,671.5,0.00248,604,7585611,604,7585611
248.49,46359,671.25,0.00275,605,7399598,605,7399598
248.74,46125,671,-0.00022,606,7208422,606,7208422
248.99,45858,670.75,0.00095,607,7015756,607,7015756
249.24,45628,670.5,-0.00198,608,6822359,608,6822359
249.49,45411,670.25,0.00235,609,6624252,609,6624252
249.74,44941,670,0.00213,610,6422951,610,6422951
249.99,44527,669.75,-0.00149,611,6219271,611,6219271
250.24,43764,669.5,-0.0005,612,6014321,612,6014321
250.49,43325,669.25,0.00062,613,5840831,613,5840831
250.74,42649,669,0.00306,614,5640033,614,5640033
250.99,41849,668.75,0.00186,615,5464880,615,5464880
251.24,41065,668.5,0.00181,616,5289370,616,5289370
251.49,40071,668.25,0.00111,617,5109209,617,5109209
251.74,39177,668,0.00082,618,4926530,618,4926530
