0.1M NaOH1,,Fluo base,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
699.9856567,0.01834478788,699.9856567,0.08877233416,
698.979126,0.01898601092,698.979126,0.09065058082,
697.972229,0.01983389631,697.972229,0.09240996093,
696.9650269,0.02051327936,696.9650269,0.09384752065,
695.9575195,0.0205229409,695.9575195,0.09538003057,
694.949646,0.0213030614,694.949646,0.0971827656,
693.9414673,0.02178824693,693.9414673,0.09865706414,
692.9329834,0.02217030711,692.9329834,0.1005768552,
692.0682983,0.02257517166,692.0682983,0.1017894149,
691.0591431,0.02365257777,691.0591431,0.1041507348,
690.0497437,0.02414337918,690.0497437,0.1062412485,
689.039978,0.0242690891,689.039978,0.1072692499,
688.0298462,0.02443139069,688.0298462,0.1091337129,
687.0194702,0.02474685758,687.0194702,0.1101431698,
686.008728,0.02540910989,686.008728,0.1126734391,
684.9976196,0.02536904253,684.9976196,0.1142008901,
683.9862671,0.02598291077,683.9862671,0.1163132265,
682.9745483,0.02612394467,682.9745483,0.1182181016,
681.9625244,0.02662968636,681.9625244,0.1201315671,
680.9501343,0.02685482614,680.9501343,0.1220331639,
679.9375,0.02717412636,679.9375,0.123989895,
679.0692139,0.0267019663,679.0692139,0.1251850277,
678.0559082,0.02672627382,678.0559082,0.127198413,
677.0423584,0.02762798592,677.0423584,0.1297992617,
676.0284424,0.02770308219,676.0284424,0.1320082992,
675.0142212,0.02770669758,675.0142212,0.1341462433,
673.9996338,0.02715260535,673.9996338,0.1354449689,
672.9848022,0.0281135831,672.9848022,0.1381314844,
671.9696045,0.02777314186,671.9696045,0.1403978765,
670.9541016,0.02823748998,670.9541016,0.1425926685,
669.9382935,0.02823044546,669.9382935,0.1453571916,
669.0673218,0.02746506594,669.0673218,0.1468127817,
668.0509033,0.02745312452,668.0509033,0.1492003053,
667.0341797,0.0271081049,667.0341797,0.1513391733,
666.0171509,0.02694719657,666.0171509,0.1537588388,
664.9998169,0.02692028694,664.9998169,0.1562268734,
663.9821167,0.02650854737,663.9821167,0.1585032493,
662.9641724,0.0265576914,662.9641724,0.1618724912,
661.9458618,0.02644138783,661.9458618,0.1644999236,
660.9272461,0.02648697607,660.9272461,0.1676395386,
660.0539551,0.02660805359,660.0539551,0.1704598516,
659.034729,0.02641164884,659.034729,0.1730299592,
658.0152588,0.02621470205,658.0152588,0.1758974195,
656.9954224,0.02621643431,656.9954224,0.1793360859,
655.9753418,0.02600888349,655.9753418,0.1830614656,
654.954895,0.02618321963,654.954895,0.1864182055,
653.9341431,0.02602081001,653.9341431,0.190218702,
653.059021,0.02613205463,653.059021,0.1931772381,
652.0377197,0.02577159926,652.0377197,0.1967259347,
651.0161133,0.02560813725,651.0161133,0.2008302957,
649.9941406,0.02607624978,649.9941406,0.2048149109,
648.9719238,0.02603034861,648.9719238,0.2092280239,
647.9494019,0.02545198239,647.9494019,0.2134100646,
647.0726929,0.0260063,647.0726929,0.2177269012,
646.0496216,0.02589440159,646.0496216,0.222033903,
645.0261841,0.0258658547,645.0261841,0.226068601,
644.0025024,0.02548711747,644.0025024,0.2300209403,
642.9784546,0.0260206461,642.9784546,0.2361885458,
641.9541626,0.0259741731,641.9541626,0.2413250208,
640.9295044,0.02607685514,640.9295044,0.2460706234,
640.0510254,0.02572210319,640.0510254,0.2507230341,
639.0258179,0.02585390396,639.0258179,0.2554426789,
638.0003662,0.02591385506,638.0003662,0.2607612312,
636.9745483,0.02568494529,636.9745483,0.2661031783,
635.9484863,0.02577294596,635.9484863,0.2714009881,
635.0687256,0.02609502524,635.0687256,0.2762987614,
634.0421143,0.02602015063,634.0421143,0.2821252644,
633.0151367,0.02580156922,633.0151367,0.2881266475,
631.987915,0.02580448054,631.987915,0.2932399511,
630.9603882,0.02581395768,630.9603882,0.2984029651,
629.9325562,0.02565948665,629.9325562,0.3039261103,
629.0512695,0.0257099364,629.0512695,0.3101414144,
628.0228882,0.02575226128,628.0228882,0.3169600964,
626.9942017,0.02584747411,626.9942017,0.3237877786,
625.96521,0.02579742111,625.96521,0.3302633464,
624.9359741,0.02565701492,624.9359741,0.3364614546,
624.0534668,0.02579733916,624.0534668,0.3422861695,
623.0236816,0.02544506639,623.0236816,0.35006392,
621.9935303,0.02567536011,621.9935303,0.3573016226,
620.9631348,0.02575789206,620.9631348,0.3646627963,
