0.1M NaOH1,,Fluo base,,Fluo 1:10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
699.9856567,0.01834478788,699.9856567,0.08877233416,699.9856567,0.02350365557,
698.979126,0.01898601092,698.979126,0.09065058082,698.979126,0.02448985912,
697.972229,0.01983389631,697.972229,0.09240996093,697.972229,0.02524858341,
696.9650269,0.02051327936,696.9650269,0.09384752065,696.9650269,0.02596977539,
695.9575195,0.0205229409,695.9575195,0.09538003057,695.9575195,0.02647577785,
694.949646,0.0213030614,694.949646,0.0971827656,694.949646,0.02688175812,
693.9414673,0.02178824693,693.9414673,0.09865706414,693.9414673,0.02757648565,
692.9329834,0.02217030711,692.9329834,0.1005768552,692.9329834,0.02817105688,
692.0682983,0.02257517166,692.0682983,0.1017894149,692.0682983,0.02886746451,
691.0591431,0.02365257777,691.0591431,0.1041507348,691.0591431,0.02954933606,
690.0497437,0.02414337918,690.0497437,0.1062412485,690.0497437,0.03036331572,
689.039978,0.0242690891,689.039978,0.1072692499,689.039978,0.03009154275,
688.0298462,0.02443139069,688.0298462,0.1091337129,688.0298462,0.03101389855,
687.0194702,0.02474685758,687.0194702,0.1101431698,687.0194702,0.03115732595,
686.008728,0.02540910989,686.008728,0.1126734391,686.008728,0.0323789306,
684.9976196,0.02536904253,684.9976196,0.1142008901,684.9976196,0.03211874142,
683.9862671,0.02598291077,683.9862671,0.1163132265,683.9862671,0.03337822482,
682.9745483,0.02612394467,682.9745483,0.1182181016,682.9745483,0.0334793441,
681.9625244,0.02662968636,681.9625244,0.1201315671,681.9625244,0.03393111378,
680.9501343,0.02685482614,680.9501343,0.1220331639,680.9501343,0.03436370939,
679.9375,0.02717412636,679.9375,0.123989895,679.9375,0.03504052013,
679.0692139,0.0267019663,679.0692139,0.1251850277,679.0692139,0.03462628275,
678.0559082,0.02672627382,678.0559082,0.127198413,678.0559082,0.03473955765,
677.0423584,0.02762798592,677.0423584,0.1297992617,677.0423584,0.03570363298,
676.0284424,0.02770308219,676.0284424,0.1320082992,676.0284424,0.03601749986,
675.0142212,0.02770669758,675.0142212,0.1341462433,675.0142212,0.0364774093,
673.9996338,0.02715260535,673.9996338,0.1354449689,673.9996338,0.03631073982,
672.9848022,0.0281135831,672.9848022,0.1381314844,672.9848022,0.03704928607,
671.9696045,0.02777314186,671.9696045,0.1403978765,671.9696045,0.03726878017,
670.9541016,0.02823748998,670.9541016,0.1425926685,670.9541016,0.03771742433,
669.9382935,0.02823044546,669.9382935,0.1453571916,669.9382935,0.03813569248,
669.0673218,0.02746506594,669.0673218,0.1468127817,669.0673218,0.03706837073,
668.0509033,0.02745312452,668.0509033,0.1492003053,668.0509033,0.03752496094,
667.0341797,0.0271081049,667.0341797,0.1513391733,667.0341797,0.03768365458,
666.0171509,0.02694719657,666.0171509,0.1537588388,666.0171509,0.03739112616,
664.9998169,0.02692028694,664.9998169,0.1562268734,664.9998169,0.03784684092,
663.9821167,0.02650854737,663.9821167,0.1585032493,663.9821167,0.03768989444,
662.9641724,0.0265576914,662.9641724,0.1618724912,662.9641724,0.03808570281,
661.9458618,0.02644138783,661.9458618,0.1644999236,661.9458618,0.03833000734,
660.9272461,0.02648697607,660.9272461,0.1676395386,660.9272461,0.03856811672,
660.0539551,0.02660805359,660.0539551,0.1704598516,660.0539551,0.03879548609,
659.034729,0.02641164884,659.034729,0.1730299592,659.034729,0.03904973716,
658.0152588,0.02621470205,658.0152588,0.1758974195,658.0152588,0.03947139159,
656.9954224,0.02621643431,656.9954224,0.1793360859,656.9954224,0.03929662704,
655.9753418,0.02600888349,655.9753418,0.1830614656,655.9753418,0.03994470835,
654.954895,0.02618321963,654.954895,0.1864182055,654.954895,0.0402879566,
653.9341431,0.02602081001,653.9341431,0.190218702,653.9341431,0.0404249616,
653.059021,0.02613205463,653.059021,0.1931772381,653.059021,0.04059460759,
652.0377197,0.02577159926,652.0377197,0.1967259347,652.0377197,0.04092642292,
651.0161133,0.02560813725,651.0161133,0.2008302957,651.0161133,0.04157323763,
649.9941406,0.02607624978,649.9941406,0.2048149109,649.9941406,0.04161326215,
648.9719238,0.02603034861,648.9719238,0.2092280239,648.9719238,0.04230127856,
647.9494019,0.02545198239,647.9494019,0.2134100646,647.9494019,0.04223976284,
647.0726929,0.0260063,647.0726929,0.2177269012,647.0726929,0.04314213619,
646.0496216,0.02589440159,646.0496216,0.222033903,646.0496216,0.04340775684,
645.0261841,0.0258658547,645.0261841,0.226068601,645.0261841,0.04407214746,
